,ep,explo,year,biomass_g,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
206,HEG07,HAI,2018,122.45,418.0,758.0,575.0,3853.0,3588.0,1252.0,3064.0,3532.0,2120.0,1095.0
207,HEG08,HAI,2018,200.3,322.0,672.0,353.0,4502.0,4393.0,1059.0,3408.0,4151.0,1709.0,747.0
208,HEG09,HAI,2018,61.05,443.0,807.0,616.0,3944.0,3725.0,1260.0,3025.0,3576.0,2220.0,1129.0
209,HEG10,HAI,2018,185.2,357.0,683.5,470.0,4049.5,3866.5,1080.5,2962.5,3619.0,1993.5,952.0
210,HEG11,HAI,2018,97.8,424.0,753.0,637.0,3526.0,3346.0,1232.0,2714.0,3163.0,2163.0,1122.0
211,HEG12,HAI,2018,190.05,428.0,778.5,585.0,3718.5,3573.0,1260.5,2873.0,3362.5,2507.0,1345.5
212,HEG13,HAI,2018,322.7,565.0,961.5,824.0,4409.5,4201.5,1356.0,3297.5,4002.5,2305.5,1292.5
213,HEG14,HAI,2018,176.45,317.0,632.0,381.0,4638.0,4412.0,996.0,3351.0,4268.0,1899.0,871.0
214,HEG15,HAI,2018,204.0,334.0,678.0,425.0,4759.5,4609.5,1013.5,3472.0,4346.0,2021.5,903.5
215,HEG16,HAI,2018,83.36,443.0,782.0,649.0,3169.0,3035.0,1183.0,2586.0,2937.0,2154.0,1228.0
216,HEG17,HAI,2018,36.35,411.0,765.0,536.5,3878.5,3706.5,1228.0,3067.5,3539.5,2101.5,1030.5
217,HEG18,HAI,2018,75.65,405.0,740.5,539.5,3671.0,3503.5,1165.5,2808.5,3297.0,2057.0,1033.0
218,HEG19,HAI,2018,13.1,353.0,689.0,445.0,4034.0,3776.0,1052.0,3068.0,3706.0,1909.0,903.0
219,HEG20,HAI,2018,87.7,428.0,770.0,516.0,4294.0,4139.0,1185.0,3307.0,3950.0,1997.0,972.0
220,HEG21,HAI,2018,150.6,380.0,767.5,508.0,4136.0,4051.0,1258.0,3222.5,3798.5,2184.0,1057.5
221,HEG22,HAI,2018,240.7,377.5,716.0,513.5,4596.5,4438.0,1191.0,3352.5,4177.5,2202.0,1077.5
222,HEG23,HAI,2018,115.0,384.5,731.0,506.5,3998.0,3799.5,1187.5,3069.5,3614.0,2037.0,971.5
223,HEG24,HAI,2018,162.35,324.0,666.0,355.0,4461.0,4337.0,1030.0,3398.0,4168.0,1869.0,869.0
224,HEG25,HAI,2018,131.3,345.0,657.5,466.0,3830.5,3639.0,1094.5,2893.0,3453.0,1983.0,952.0
225,HEG26,HAI,2018,235.2,436.5,781.5,548.5,3927.5,3736.5,1198.0,3005.5,3557.5,1973.0,987.5
226,HEG27,HAI,2018,193.5,366.5,714.5,481.5,3938.5,3724.5,1139.5,3021.5,3604.5,2035.5,974.0
227,HEG28,HAI,2018,63.85,423.5,745.0,579.5,3495.0,3335.5,1187.0,2753.0,3161.5,2203.5,1131.0
228,HEG29,HAI,2018,42.45,456.5,785.0,653.0,3359.0,3186.5,1241.5,2658.0,3031.5,2330.5,1233.0
229,HEG30,HAI,2018,157.75,377.0,666.0,442.0,4213.0,4008.0,1055.0,3173.0,3843.0,1894.0,896.0
230,HEG31,HAI,2018,117.8,387.0,697.5,482.0,4092.5,3917.5,1141.5,3106.5,3708.0,2036.0,969.5
231,HEG32,HAI,2018,274.45,361.0,697.0,486.0,4464.0,4225.0,1104.0,3238.0,4036.0,2108.0,1034.0
232,HEG33,HAI,2018,,324.0,620.0,435.0,3901.0,3707.0,997.0,2864.0,3501.0,2058.0,980.0
233,HEG34,HAI,2018,164.65,308.0,657.0,379.0,4219.0,4134.0,1050.0,3205.0,3934.0,1812.0,879.0
234,HEG35,HAI,2018,274.05,333.0,679.5,406.5,4958.0,4830.0,1078.5,3613.0,4582.0,1808.5,886.5
235,HEG36,HAI,2018,,416.5,782.0,599.5,3787.5,3640.5,1287.0,2940.5,3426.5,2365.5,1211.0
236,HEG37,HAI,2018,155.85,303.0,617.0,364.0,4448.0,4258.0,1008.0,3259.0,4087.0,1828.0,809.0
237,HEG38,HAI,2018,134.15,340.5,692.5,407.0,4781.5,4647.0,1147.0,3628.0,4427.5,1964.5,920.5
238,HEG39,HAI,2018,83.0,373.0,773.0,450.0,4454.0,4225.0,1223.0,3439.0,4105.0,2068.0,1002.0
239,HEG40,HAI,2018,214.9,337.0,693.5,376.5,4337.5,4170.0,1050.0,3329.5,3981.0,1956.5,883.0
240,HEG41,HAI,2018,125.6,544.0,905.0,763.0,3663.0,3466.0,1441.0,2893.0,3316.0,2543.0,1402.0
241,HEG42,HAI,2018,64.65,432.5,815.0,587.5,3943.5,3762.0,1311.5,3106.0,3569.5,2339.0,1171.5
242,HEG43,HAI,2018,104.65,443.0,804.0,592.0,3964.0,3770.0,1269.0,3085.0,3603.0,2277.0,1124.0
243,HEG44,HAI,2018,46.75,457.5,770.0,644.5,3651.5,3524.0,1228.0,2840.0,3310.5,2303.0,1162.0
244,HEG45,HAI,2018,64.55,386.5,751.5,481.5,4322.5,4134.5,1201.0,3382.5,3986.5,2105.5,958.5
245,HEG46,HAI,2018,76.3,483.0,822.0,750.5,3494.0,3292.5,1345.5,2704.0,3109.0,2572.0,1303.5
246,HEG47,HAI,2018,222.55,390.0,728.0,435.5,4721.5,4650.5,1072.0,3539.5,4405.5,1857.5,907.5
247,HEG48,HAI,2018,198.0,346.0,643.0,430.0,3887.0,3621.0,1047.0,2937.0,3546.0,1838.0,885.0
248,HEG49,HAI,2018,190.15,379.5,722.0,430.0,4691.0,4540.0,1091.0,3569.0,4395.0,1808.0,855.0
249,HEG50,HAI,2018,238.2,334.5,662.5,408.0,4092.0,3969.5,1099.5,3131.5,3742.5,1906.5,902.5
250,SEG01,SCH,2018,154.7,457.5,818.5,680.5,3902.5,3767.0,1355.0,2925.5,3438.5,2620.0,1392.5
251,SEG02,SCH,2018,351.2,264.0,582.5,305.5,4893.0,4737.5,985.5,3433.5,4425.5,1768.0,768.0
252,SEG03,SCH,2018,269.45,283.0,598.5,343.0,4122.0,3998.5,980.0,3132.0,3839.0,1887.0,873.0
253,SEG04,SCH,2018,367.45,412.5,727.5,548.0,4312.5,4110.0,1097.5,3113.0,3891.5,2156.0,1045.0
254,SEG05,SCH,2018,305.85,316.5,670.5,417.5,4656.0,4427.5,1230.5,3337.0,4098.0,1973.5,914.0
255,SEG06,SCH,2018,356.1,292.0,664.0,378.0,4576.0,4370.0,1119.0,3290.0,4022.0,2230.0,1031.0
256,SEG07,SCH,2018,347.45,322.0,729.5,363.0,5236.5,5158.0,1196.5,3905.5,4854.5,1875.0,853.0
257,SEG08,SCH,2018,424.4,316.0,697.0,397.0,4553.0,4339.0,1168.0,3390.0,4147.0,1880.0,870.0
258,SEG09,SCH,2018,538.55,332.0,724.0,430.0,4436.0,4101.0,1187.0,3296.0,3959.0,2240.0,1056.0
259,SEG10,SCH,2018,422.4,458.0,816.0,668.0,4495.0,4321.0,1337.0,3303.0,4048.0,2259.0,1157.0
