biomass_gm2,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
247.5,326.0,660.0,414.0,4553.0,4403.0,1066.0,3440.0,4227.0,1847.0,868.0
186.0,365.0,754.0,471.0,4525.0,4378.0,1242.0,3550.0,4217.0,1935.0,945.0
78.5,332.0,676.0,422.0,4090.0,3976.0,1127.0,3141.0,3757.0,1954.0,920.0
149.5,315.0,670.0,379.0,4881.0,4769.0,1072.0,3594.0,4520.0,1852.0,822.0
34.0,523.0,869.0,785.0,3675.0,3486.0,1461.0,2855.0,3287.0,2808.0,1485.0
197.85,266.0,604.0,338.0,4009.0,3838.0,1008.0,3018.0,3637.0,1754.0,789.0
63.4,431.0,750.0,592.0,3369.0,3189.0,1225.0,2637.0,3024.0,2289.0,1213.0
166.65,322.0,653.0,385.0,4282.0,4125.0,1056.0,3197.0,3932.0,2030.0,950.0
359.95,221.0,561.0,252.0,4728.0,4602.0,948.0,3507.0,4398.0,1564.0,685.0
185.75,291.0,600.5,350.5,4457.0,4301.0,985.0,3349.0,4082.0,1845.0,810.5
118.8,355.0,731.0,459.0,3995.0,3920.0,1200.0,3271.0,3740.0,1976.0,986.0
83.35,384.0,713.0,520.0,3633.0,3486.0,1168.0,2869.0,3296.0,2097.0,1057.0
412.45,281.0,587.0,335.0,4688.0,4520.0,952.0,3324.0,4315.0,1791.0,812.0
58.8,418.5,753.5,582.0,3367.5,3216.0,1265.0,2624.5,3000.0,2315.0,1248.5
75.85,373.5,685.5,532.5,3503.5,3397.5,1142.0,2676.5,3159.5,2154.5,1120.0
205.1,268.0,555.0,332.5,4036.0,3884.0,932.0,2973.0,3717.5,1735.5,801.0
37.5,428.0,722.0,601.0,3027.0,2847.0,1188.0,2388.0,2734.0,2324.0,1281.0
36.25,424.0,702.0,615.0,3020.0,2807.0,1133.0,2347.0,2700.0,2200.0,1219.0
40.05,363.0,696.0,480.0,3690.0,3520.0,1161.5,2858.0,3334.5,2100.5,1054.0
351.5,251.0,541.0,258.0,4715.0,4547.0,869.0,3309.0,4302.0,1572.0,672.0
347.7,225.0,496.0,230.0,5186.0,5022.0,802.0,3462.0,4750.0,1475.0,628.0
278.45,232.0,573.0,266.0,4241.0,4056.0,969.0,3263.0,3946.0,1562.0,687.0
514.55,236.0,577.0,278.0,5311.0,5196.0,923.0,3770.0,4937.0,1539.0,670.0
145.8,380.0,708.0,504.0,3612.0,3452.0,1156.0,2803.0,3280.0,2152.0,1073.0
220.35,301.0,581.0,345.0,4641.0,4417.0,915.0,3274.0,4288.0,1742.0,778.0
256.4,277.0,615.0,321.0,4320.0,4175.0,989.0,3245.0,3961.0,1757.0,765.0
76.35,406.0,762.0,544.0,3845.0,3713.0,1238.0,3072.0,3539.0,2240.0,1115.0
45.4,440.0,733.0,670.0,2957.0,2768.0,1187.0,2311.0,2635.0,2545.0,1396.0
106.35,352.0,678.0,464.0,3509.0,3367.0,1126.0,2734.0,3171.0,2003.0,991.0
177.1,255.0,607.0,292.0,4174.0,4019.0,1012.0,3266.0,3872.0,1675.0,736.0
123.2,333.0,655.0,444.0,3447.0,3289.0,1091.0,2706.0,3160.0,2011.0,1007.0
239.3,388.0,684.0,459.0,4330.0,4182.0,1048.0,3172.0,3926.0,2150.0,1006.0
159.95,475.0,768.0,573.0,3397.0,3113.0,1150.0,2583.0,3028.0,1797.0,925.0
303.95,391.5,710.5,545.5,3455.5,3235.0,1146.5,2617.5,3077.5,2093.0,1025.0
253.3,321.0,711.0,378.0,4591.0,4468.0,1099.0,3377.0,4215.0,1740.0,757.0
96.6,423.0,752.0,562.0,3840.0,3659.0,1222.0,2859.0,3389.0,2170.0,1041.0
33.65,412.0,692.0,623.0,3722.0,3495.0,1161.0,2657.0,3210.0,2477.0,1301.0
