,explrtr,year,Qnum2,type,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2,month
461,ALB,2020,AEG30_10,grassland,332,659,403,4099,3868,1076,3126,3718,2139,1009,9
462,ALB,2020,AEG36_01,grassland,270,599,325,3867,3584,981,2941,3500,1975,866,9
463,ALB,2020,AEG36_02,grassland,263,592.5,321,3853,3568,977,2928.5,3488,1965.5,860,9
464,ALB,2020,AEG36_06,grassland,257,583,308,3860,3677,970,2933,3490,1947,851,9
465,ALB,2020,AEG36_10,grassland,265,590,301,4056,3832,984,3104,3711,1976,855,9
466,ALB,2020,AEG38_01,grassland,358,669,510,3362,3155,1097,2557,2998,2247,1157,9
467,ALB,2020,AEG43_01,grassland,522,881,816,3382,3292,1329,2513,2958,2675,1464,9
468,ALB,2020,AEG43_02,grassland,522,881,816,3382,3292,1329,2513,2958,2675,1464,9
469,ALB,2020,AEG43_04,grassland,437,808,691,3579,3464,1296,2682,3178,2593,1375,9
470,ALB,2020,AEG05_01,grassland,375,666,431,3354,3433,1024,2610,3088,2039,1012,9
471,ALB,2020,AEG05_07,grassland,367,673,426,3607,3555,1007,2787,3356,2098,990,9
472,ALB,2020,AEG05_08,grassland,367,673,426,3607,3555,1007,2787,3356,2098,990,9
473,ALB,2020,AEG05_10,grassland,365,688,438,3705,3608,1032,2835,3407,2124,997,9
474,ALB,2020,AEG32_01,grassland,325,558,408,3110,2790,961,2327,2776,1717,784,9
475,ALB,2020,AEG32_02,grassland,325,558,408,3110,2790,961,2327,2776,1717,784,9
476,ALB,2020,AEG32_09,grassland,377,641,502,3157,3030,1045,2386,2813,1732,814,9
477,ALB,2020,AEG32_10,grassland,377,641,502,3157,3030,1045,2386,2813,1732,814,9
478,ALB,2020,AEG34_01,grassland,328,637,388,3470,3385,1003,2717,3175,1872,851,9
479,ALB,2020,AEG34_02,grassland,328,637,388,3470,3385,1003,2717,3175,1872,851,9
480,ALB,2020,AEG34_03,grassland,333,653,388,3425,3334,1032,2699,3120,1935,883,9
481,ALB,2020,AEG34_04,grassland,333,653,388,3425,3334,1032,2699,3120,1935,883,9
482,ALB,2020,AEG34_05,grassland,351,657,406,3373,3242,1044,2660,3062,1958,897,9
483,ALB,2020,AEG34_06,grassland,351,657,406,3373,3242,1044,2660,3062,1958,897,9
484,ALB,2020,AEG34_07,grassland,380,628,428,3019,2772,992,2357,2718,1788,873,9
485,ALB,2020,AEG34_09,grassland,386,638,459,2931,2691,971,2269,2619,1770,854,9
486,ALB,2020,AEG34_10,grassland,386,638,459,2931,2691,971,2269,2619,1770,854,9
487,ALB,2020,AEG49_02,grassland,345,598,445,3321,3119,980,2472,2945,1943,873,9
488,ALB,2020,AEG49_04,grassland,336,571,430,3189,2960,950,2379,2828,1902,865,9
489,ALB,2020,AEG49_06,grassland,329,572,416,3162,2994,945,2370,2814,1878,855,9
490,ALB,2020,AEG49_09,grassland,325,566,399,3052,2961,890,2252,2702,1739,784,9
491,ALB,2020,AEG04_02,grassland,399,827,506,4464,4272,1308,3458,4045,2660,1273,9
492,ALB,2020,AEG04_03,grassland,418,834.5,530,4386.5,4208,1303,3386,3966.5,2590.5,1248.5,9
493,ALB,2020,AEG04_04,grassland,437,842,554,4309,4144,1298,3314,3888,2521,1224,9
494,ALB,2020,AEG04_05,grassland,437,842,554,4309,4144,1298,3314,3888,2521,1224,9
495,ALB,2020,AEG04_01,grassland,399,827,506,4464,4272,1308,3458,4045,2660,1273,9
496,ALB,2020,AEG04_06,grassland,438,831,541,4383,4163,1295,3326,3943,2514,1219,9
497,ALB,2020,AEG04_07,grassland,438,831,541,4383,4163,1295,3326,3943,2514,1219,9
498,ALB,2020,AEG04_08,grassland,436,822,533,4348,4176,1269,3301,3913,2471,1190,9
499,ALB,2020,AEG04_09,grassland,436,822,533,4348,4176,1269,3301,3913,2471,1190,9
500,ALB,2020,AEG04_10,grassland,428,814,526,4373,4171,1262,3288,3928,2460,1182,9
