,plot id,Useful_PlotID,Exploratory,Qnum,month,year,date_releves,m from south corner,SpecRich,LAI_field,S2_timestep,mowing date,biomass_g,biomass_gm2,Grass_percent_cover,Forb_percent_cover,Legumes_percent_cover,Bare_percent_cover,Litter_percent_cover,Moss_percent_cover,Senescent_percent_cover,Moribund_percent_cover,Dung_percent_cover,Shrub_percent_cover,Green_veg_percent_cover,Grass_height,Forbs_height,Legumes_height,RPM,comments_quadrat,comments_plot,date_uav,UAV,time_UAV,green,red,rededge,nir,RAOsQ
93,AEG22,AEG22,ALB,AEG22_04,6,2020,19.06.2020,19.5,26,1.09,20200621,,,,32,25,3,4,1,19,,16,,,60,14,8,5,7.4,,,19.06.2020,Bluegrass,16:30,918,540,2802,3517,0.988945729
94,AEG22,AEG22,ALB,AEG22_05,6,2020,19.06.2020,24,26,1.58,20200621,,15.44,42.88888889,20,29.9,0.1,3,2,30,,15,,,50,12,9,4,7.4,,,19.06.2020,Bluegrass,16:30,916,554,2816,3522,1.203191529
95,AEG22,AEG22,ALB,AEG22_06,6,2020,19.06.2020,28.5,26,0.9,20200621,,,,15,25,4,1,1,27,,27,,,44,18,16,11,7.2,,,19.06.2020,Bluegrass,16:30,944,535,2912,3614.5,1.154032745
96,AEG22,AEG22,ALB,AEG22_07,6,2020,19.06.2020,33,26,1.92,20200621,,,,6,75,,1,2,6,,10,,,81,20,12,,10,,,19.06.2020,Bluegrass,16:30,1088,468.5,3641,4523,1.332808489
97,AEG22,AEG22,ALB,AEG22_08,6,2020,19.06.2020,37.5,26,1.23,20200621,,,,21,49.9,0.1,4,1,7,,17,,,71,15,15,6,9.8,,,19.06.2020,Bluegrass,16:30,1090,489,3605,4468,1.077156982
98,AEG22,AEG22,ALB,AEG22_09,6,2020,19.06.2020,42,26,2.19,20200621,,18.01,50.02777778,35,39.9,0.1,2,1,5,,17,,,75,10,10,8,10.2,,,19.06.2020,Bluegrass,16:30,1075,582.5,3233,4123.5,0.996592469
99,AEG22,AEG22,ALB,AEG22_10,6,2020,19.06.2020,46,26,0.78,20200621,,,,30,19.9,0.1,1,,6,,43,,,50,10,7,4,9.6,,,19.06.2020,Bluegrass,16:30,1009,695.5,2832.5,3595.5,1.019411629
100,HEG1,HEG01,HAI,HEG01_01,6,2020,11.06.2020,6,23,1.23,20200607,,,,78,10,,2,8,,,2,,,88,15,12,,12.4,,Very intensive management,11.06.2020,eBee,,772.5,394.5,3224.5,4414,0.989734277
101,HEG1,HEG01,HAI,HEG01_02,6,2020,11.06.2020,10.5,23,0.93,20200607,,20.98,58.27777778,60.8,15,0.2,4,15,,,5,,,76,21,13,,11.2,Ants,Fertilization effects visible,11.06.2020,eBee,,753,429.5,3025,4105.5,1.122021719
102,HEG1,HEG01,HAI,HEG01_03,6,2020,11.06.2020,15,23,1.42,20200607,,,,60.9,22,0.1,3,5,,0.1,8.9,,,83,22,12,6,14.6,,Recently mown,11.06.2020,eBee,,749,401,3196,4434,0.956505375
103,HEG1,HEG01,HAI,HEG01_04,6,2020,11.06.2020,19.5,23,1.56,20200607,,,,65.8,13,0.2,2,12,,0.1,6.9,,,79,22,13,5,16.6,,,11.06.2020,eBee,,690,406.5,2947.5,4139.5,0.837920035
104,HEG1,HEG01,HAI,HEG01_05,6,2020,11.06.2020,24,23,1.4,20200607,,23.5,65.27777778,66,4,,5,20,,,5,,,70,15,13,,12.2,,,11.06.2020,eBee,,748,449.5,2884.5,4023.5,0.706847332
105,HEG1,HEG01,HAI,HEG01_06,6,2020,11.06.2020,28.5,23,1.1,20200607,,,,79,2,,4,12,,,2,1,,81,15,8,,12.6,Artificial dung,,11.06.2020,eBee,,752.5,465.5,2847,3852,0.675780694
106,HEG1,HEG01,HAI,HEG01_07,6,2020,11.06.2020,33,23,1.31,20200607,,,,77,1,,3,14,,,5,,,78,16,12,,12.8,Artificial dung,,11.06.2020,eBee,,740,442,2861,3870.5,0.75041055
107,HEG1,HEG01,HAI,HEG01_08,6,2020,11.06.2020,37.5,23,1.39,20200607,,,,76,5,,3,8,,,8,,,81,15,14,,13.4,,,11.06.2020,eBee,,751.5,467.5,2869.5,3870,0.708301501
108,HEG1,HEG01,HAI,HEG01_09,6,2020,11.06.2020,42,23,1.28,20200607,,26.47,73.52777778,76,3,,3,9,,,9,,,79,16,6,,12.6,,,11.06.2020,eBee,,766.5,461,2977,4056,0.828216656
109,HEG1,HEG01,HAI,HEG01_10,6,2020,11.06.2020,46,23,1.34,20200607,,,,69,3,,1,12,,,15,,,72,12,7,,10.4,,,11.06.2020,eBee,,813,520.5,2944,3970,0.777940903
