"","explrtr","year","Qnum2","type","blue","green","red","nir","nirb","re1","re2","re3","swir1","swir2","month"
"232","HAI","2021","HEG34_02","grassland",323,737,363,4049,3909,1201,3240,3724,1865,834,"09"
"233","HAI","2021","HEG34_04","grassland",311,719,365,4052,3854,1187,3225,3728,1829,809,"09"
"234","HAI","2021","HEG34_05","grassland",311,719,365,4052,3854,1187,3225,3728,1829,809,"09"
"235","HAI","2021","HEG34_08","grassland",317,715,362,3986,3770,1172,3178,3677,1813,804,"09"
"236","HAI","2021","HEG34_09","grassland",316,718,373,3933,3698,1172,3148,3626,1800,800,"09"
"237","HAI","2021","HEG36_01","grassland",389,697,582,3084,2903,1139,2388,2757,2495,1311,"09"
"238","HAI","2021","HEG36_03","grassland",414,748,638,3170,3055,1184,2456,2829,2555,1334,"09"
"239","HAI","2021","HEG36_04","grassland",414,748,638,3170,3055,1184,2456,2829,2555,1334,"09"
"240","HAI","2021","HEG36_05","grassland",393,720,605.5,3181,3028.5,1182.5,2462.5,2838,2578,1342.5,"09"
"241","HAI","2021","HEG36_06","grassland",372,692,573,3192,3002,1181,2469,2847,2601,1351,"09"
"242","HAI","2021","HEG36_07","grassland",372,692,573,3192,3002,1181,2469,2847,2601,1351,"09"
"243","HAI","2021","HEG36_08","grassland",384,705,577,3202,3025,1195,2473,2850,2606,1354,"09"
"244","HAI","2021","HEG36_09","grassland",384,705,577,3202,3025,1195,2473,2850,2606,1354,"09"
"245","HAI","2021","HEG36_10","grassland",417,754,633,3268,3097,1243,2514,2886,2647,1376,"09"
"246","HAI","2021","HEG37_02","grassland",346,722,465,3860,3706,1173,3017,3514,2337,1062,"09"
"247","HAI","2021","HEG37_03","grassland",355,735,476,3851,3712,1158,2999,3513,2333,1060,"09"
"248","HAI","2021","HEG37_04","grassland",355,735,476,3851,3712,1158,2999,3513,2333,1060,"09"
"249","HAI","2021","HEG37_05","grassland",340,713,461,3767,3592,1128,2928,3432,2283,1039,"09"
"250","HAI","2021","HEG37_06","grassland",340,713,461,3767,3592,1128,2928,3432,2283,1039,"09"
"251","HAI","2021","HEG37_07","grassland",338,685,445,3705,3528,1095,2868,3368,2251,1030,"09"
"252","HAI","2021","HEG37_08","grassland",338,685,445,3705,3528,1095,2868,3368,2251,1030,"09"
"253","HAI","2021","HEG37_09","grassland",326,671,430.5,3726,3580,1078.5,2873.5,3389,2237,1019.5,"09"
"254","HAI","2021","HEG37_10","grassland",314,657,416,3747,3632,1062,2879,3410,2223,1009,"09"
"255","HAI","2021","HEG38_05","grassland",337,766,362,4300,4112,1196,3438,3967,2236,989,"09"
"256","HAI","2021","HEG38_06","grassland",337,766,362,4300,4112,1196,3438,3967,2236,989,"09"
"257","HAI","2021","HEG40_03","grassland",320,725,364,4175,3999,1136,3237,3775,2136,936,"09"
"258","HAI","2021","HEG40_05","grassland",310,682,364,4102,3872,1124,3223,3733,2121,933,"09"
"259","HAI","2021","HEG40_08","grassland",308,690,349,4203,3954,1127,3292,3815,2121,931,"09"
"260","HAI","2021","HEG03_01","grassland",373,785,521,3753,3612,1266,2934,3341,2162,1026,"09"
"261","HAI","2021","HEG03_02","grassland",373,785,521,3753,3612,1266,2934,3341,2162,1026,"09"
"262","HAI","2021","HEG03_04","grassland",369,778,545,3764,3643,1286,2943,3387,2187,1039,"09"
"263","HAI","2021","HEG03_06","grassland",458,852,700,3719,3544,1409,2859,3268,2563,1312,"09"
"264","HAI","2021","HEG03_08","grassland",461,858,695,3814,3622,1428,2921,3360,2617,1337,"09"
"265","HAI","2021","HEG03_10","grassland",469,867,695,3835,3707,1426,2937,3382,2631,1341,"09"
"266","HAI","2021","HEG41_02","grassland",336,728,435,3803,3724,1153,2927,3417,2102,996,"09"
"267","HAI","2021","HEG41_03","grassland",336,728,435,3803,3724,1153,2927,3417,2102,996,"09"
"268","HAI","2021","HEG41_07","grassland",380,758,511,3800,3622,1214,2909,3415,2199,1059,"09"
"269","HAI","2021","HEG45_01","grassland",476,841,756,3401,3202,1401,2651,3019,2588,1359,"09"
